Date Began,Date Ended,Shutdown Source,News links,Continent,Country,Affected Scope ,Name of Affected Area,Shutdown Attribution,Shutdown Attribution Decision Maker,Shutdown Type ,Services Affected,Service Details ,Telcos Involved,Gov't Acknowledgement,Justification,Official Statement Text,Suspected Actual Cause ,Election related?,Legal Justifications ,Legal Method ,Telco Response ,Telco Acknowledgement ,Telco Statement Text,Economic Impact ,Event ,Access Now link,Notes 
9/5/2017,,Confidential,http://www.bbc.com/news/world-africa-41174005,Africa,Togo,National,nationwide ,Executive Government,,Throttling,Internet,Mobile Internet,,Yes,Public Safety,"""Even in most developed countries, authorities take control of telecommunications in some cases,""  (Gilbert Bawara, gov't spokesperson) ",Protests,Yes,,,,,,,protests against the rule of President Faure Gnassingbé.,,
9/28/2017,9/30/2017,News Media Article,https://www.geo.tv/latest/160657-muharram-10th-juloos-to-head-out-early-morning-from-karachis-nishtar-park,Asia,Pakistan,Local,"Various cities in Sindh: Karachi, Jacobabad, Shikarpur, Kashmore, Khairpur, Haripur, DI Khan and Lakki Marwat, among other areas.",Local Government,,Service-based,Internet,"Mobile only in most places, full shutdown in parts of Karachi",,Yes,Public Safety,http://www.firstpost.com/world/pakistan-shuts-down-mobile-phone-services-in-karachi-as-security-measure-for-muharram-4097839.html,,No,,,,,,,Ashura parades,,
9/30/2017,ongoing,News Media Article,http://www.africanews.com/2017/09/30/cameroon-blocks-social-media-access-in-restive-english-speaking-regions/,Africa,Cameroon,Regional,Anglophone region,Executive Government,,Service-based,Internet,"Twitter, Whatsapp and Facebook",,No,,,Protests,No,,,,Yes,"MTN and Orange sent SMS-based statements acknowledging disruption but without explanation. Orange: “Dear customers, We are facing disturbances affecting social networks. Our teams are mobilised to restore the services. Thanks for your understanding.” https://qz.com/1091516/cameroon-internet-shut-down-as-southern-cameroons-ambazonia-protests-grow-in-bamenda-buea/",,Mass protest against alleged marginalization by Francophone majority.,https://www.accessnow.org/keepiton-coalition-letter-government-cameroon/,
10/04/2017,10/4/2017,Other,http://killswitch.pk/?q=node/69,Asia,Pakistan,Local,Kot Diji,,,Full network,Internet&SMS&Telephony,,,,,,,No,,,,,,,13th Muharram holiday procession,,
10/23/2017,10/23/2017,Other,http://killswitch.pk/?q=node/70,Asia,Pakistan,Local,Islamabad & Rawalpindi,,,Full network,Internet&SMS&Telephony,,,,,,Other,No,,,,,,,Gathering of Jeep owners driving into Islamabad for a festival,,
10/27/2017,11/11/2017,News Media Article,https://www.enca.com/africa/eguinea-ruling-party-expected-to-maintain-grip-as-nation-votes,Africa,Equatorial Guinea,National,nationwide,Executive Government,,Service-based,Internet,Facebook only,,,,,Elections,Yes,,,,,,,,,
11/10/2017,11/10/2017,News Media Article,https://www.samaa.tv/pakistan/2017/11/chehlum-security-mobile-phone-service-suspended-many-cities/,Asia,Pakistan,Local,"Karachi, Hyderabad, Peshawar and Quetta",,,Full network,Internet&SMS&Telephony,,,,,,Other,No,,,,,,,Chehlum holiday,,
11/11/2017,,News Media Article,https://www.enca.com/africa/eguinea-ruling-party-expected-to-maintain-grip-as-nation-votes,Africa,Equatorial Guinea,National,nationwide,Executive Government,,Full network,Internet,Complete shutdown,,,,,Elections,Yes,,,,,,,,,
11/13/2017,,Other,https://www.hrw.org/news/2017/11/10/shuttering-social-media-during-somalilands-elections,Africa,Somalia (Somaliland),Regional,Somaliland,Executive Government,,Service-based,Internet,Social media only,,Yes,Stopping Rumors and Dissemination of Illegal Content,,Elections,Yes,,,,,,,,,
11/24/2017,11/26/2017,News Media Article,https://timesofindia.indiatimes.com/india/jat-protests-mobile-internet-services-suspended-in-13-haryana-districts/articleshow/61792893.cms,Asia,India ,Regional,"13 cities in Haryana (Jind, Hansi, Bhiwani, Hisar, Fatehabad, Karnal, Panipat, Kaithal, Rohtak, Sonipat, Jhajjar, Bhiwani and Charkhi Dadri) ",Local Government,"Shyam Sunder (SS) Prasad, Additional Chief Secretary to Government, Haryana",Full network,Internet,Mobile only,,Yes,Public Safety,,Protests,No,,,,,,,Dueling protests by Jat ethnic organization and ruling BJP party,,
11/25/2017,11/26/2017,News Media Article,http://nation.com.pk/27-Nov-2017/activists-assail-blanket-ban-on-social-media,Asia,Pakistan,National,nationwide,Executive Government,Pakistan Telecommunication Authority,Service-based,Internet,Social media only,,Yes,Public Safety,,Protests,No,,,,,,,Mass protest at Faizabad Interchange against perceived secularization of government,,
